country,period_str,quarter_end,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
CH,2007Q2,2007-06-30,-0.06787192029005273,60.0,3.0,3.0,3.0,-6.787192029005274
CH,2007Q3,2007-09-30,-0.05836073801335162,64.0,3.0,3.0,3.0,-5.8360738013351625
CH,2007Q4,2007-12-31,-0.0782385336274144,64.0,3.0,3.0,3.0,-7.82385336274144
CH,2008Q1,2008-03-31,0.14343873287711362,61.0,3.0,3.0,3.0,14.34387328771136
CH,2008Q2,2008-06-30,-0.08236291450303157,63.0,3.0,3.0,3.0,-8.236291450303156
CH,2008Q3,2008-09-30,0.03908776569020311,65.0,3.0,3.0,3.0,3.9087765690203113
CH,2008Q4,2008-12-31,-0.180267602677734,64.0,3.0,3.0,3.0,-18.0267602677734
CH,2009Q1,2009-03-31,0.011684111431828681,62.0,3.0,3.0,3.0,1.168411143182868
CH,2009Q2,2009-06-30,0.08498508587227938,60.0,3.0,3.0,3.0,8.498508587227938
CH,2009Q3,2009-09-30,0.0801281858288172,66.0,3.0,3.0,3.0,8.01281858288172
CH,2009Q4,2009-12-31,0.0030331251394166703,65.0,3.0,3.0,3.0,0.30331251394166703
CH,2010Q1,2010-03-31,0.14710022345380258,63.0,3.0,3.0,3.0,14.710022345380258
CH,2010Q2,2010-06-30,-0.03805891947391904,61.0,3.0,3.0,3.0,-3.805891947391904
CH,2010Q3,2010-09-30,0.12488995398685043,66.0,3.0,3.0,3.0,12.488995398685043
CH,2010Q4,2010-12-31,0.019245536163049692,64.0,3.0,3.0,3.0,1.9245536163049692
CH,2011Q1,2011-03-31,0.04408235875797062,64.0,3.0,3.0,3.0,4.408235875797062
CH,2011Q2,2011-06-30,0.024805160785559277,61.0,3.0,3.0,3.0,2.4805160785559277
CH,2011Q3,2011-09-30,0.018510703995817,65.0,3.0,3.0,3.0,1.8510703995817002
CH,2011Q4,2011-12-31,-0.03315410658513418,64.0,3.0,3.0,3.0,-3.315410658513418
CH,2012Q1,2012-03-31,0.054972045579811724,64.0,3.0,3.0,3.0,5.497204557981172
CH,2012Q2,2012-06-30,0.0601024868789648,60.0,3.0,3.0,3.0,6.01024868789648
CH,2012Q3,2012-09-30,0.0009126640374728101,64.0,3.0,3.0,3.0,0.09126640374728101
CH,2012Q4,2012-12-31,0.010736830586100643,62.0,3.0,3.0,3.0,1.0736830586100643
CH,2013Q1,2013-03-31,-0.004737915734046472,61.0,3.0,3.0,3.0,-0.47379157340464717
CH,2013Q2,2013-06-30,-0.022551085543893068,61.0,3.0,3.0,3.0,-2.255108554389307
CH,2013Q3,2013-09-30,-0.028734592115547297,65.0,3.0,3.0,3.0,-2.8734592115547297
CH,2013Q4,2013-12-31,-0.022470577613629694,62.0,3.0,3.0,3.0,-2.2470577613629694
CH,2014Q1,2014-03-31,0.0739140933599105,62.0,3.0,3.0,3.0,7.39140933599105
CH,2014Q2,2014-06-30,0.034489757696393175,60.0,3.4833333333333334,3.0,4.0,3.4489757696393175
CH,2014Q3,2014-09-30,-0.013101624922524202,65.0,4.0,4.0,4.0,-1.3101624922524202
CH,2014Q4,2014-12-31,0.06693362958621818,62.0,4.0,4.0,4.0,6.693362958621818
CH,2015Q1,2015-03-31,0.08858345578181459,62.0,4.0,4.0,4.0,8.85834557818146
CH,2015Q2,2015-06-30,-0.04800614847711959,60.0,4.0,4.0,4.0,-4.800614847711959
